States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"58,522","1,093","56,990",439
FCT,"19,800",537,"19,097",166
Kaduna,"9,063",14,"8,984",65
Plateau,"9,059",15,"8,987",57
Rivers,"7,124",1,"7,022",101
Oyo,"6,852",7,"6,721",124
Edo,"4,904",5,"4,714",185
Ogun,"4,679",38,"4,592",49
Kano,"3,963",25,"3,828",110
Ondo,"3,248","1,105","2,080",63
Kwara,"3,123",6,"3,062",55
Delta,"2,623",808,"1,744",71
Osun,"2,578",11,"2,515",52
Enugu,"2,420",378,"2,013",29
Nasarawa,"2,382","1,996",373,13
Katsina,"2,097",14,"2,049",34
Gombe,"2,034",4,"1,986",44
Ebonyi,"2,030",33,"1,965",32
Anambra,"1,909",64,"1,826",19
Akwa Ibom,"1,870",23,"1,833",14
Abia,"1,690",10,"1,658",22
Imo,"1,657",28,"1,592",37
Bauchi,"1,549",14,"1,518",17
Borno,"1,337",99,"1,200",38
Benue,"1,188",575,591,22
Adamawa,"1,103",796,275,32
Taraba,992,0,968,24
Niger,930,0,913,17
Bayelsa,886,5,855,26
Ekiti,872,5,856,11
Sokoto,775,0,747,28
Jigawa,528,20,492,16
Kebbi,450,42,392,16
Yobe,409,25,375,9
Cross River,394,0,376,18
Zamfara,240,11,221,8
Kogi,5,0,3,2
